party,total_allocation,state_component,iplc_component,WB Income Group,UN LDC,CBD Party,EU,un_band,un_band_weight
Togo,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Uganda,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
United Republic of Tanzania,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Yemen,7.388462631429383,3.6942313157146915,3.6942313157146915,Low income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Zambia,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Zimbabwe,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,-,Party,Non-EU,Band 2: 0.001% - 0.01%,1.3
Algeria,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Azerbaijan,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Bahamas,6.2517760727479414,3.1258880363739707,3.1258880363739707,High income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Belarus,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Bolivia (Plurinational State of),6.2517760727479414,3.1258880363739707,3.1258880363739707,Lower middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Bosnia and Herzegovina,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Botswana,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Cameroon,6.2517760727479414,3.1258880363739707,3.1258880363739707,Lower middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Côte d’Ivoire,6.2517760727479414,3.1258880363739707,3.1258880363739707,Lower middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Dominican Republic,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Ecuador,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
El Salvador,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Gabon,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Ghana,6.2517760727479414,3.1258880363739707,3.1258880363739707,Lower middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Guatemala,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Guyana,6.2517760727479414,3.1258880363739707,3.1258880363739707,High income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Jordan,6.2517760727479414,3.1258880363739707,3.1258880363739707,Lower middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Kenya,6.2517760727479414,3.1258880363739707,3.1258880363739707,Lower middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Lebanon,6.2517760727479414,3.1258880363739707,3.1258880363739707,Lower middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Libya,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
